,name,region,group,inosinate,guanylate,adenylic,glutamate,aspartate,threonine,serine,asparagine,glutamine,proline,glycine,alanine,valine,cysteine,methionine,isoleucine,leucine,tyrosine,phenylalanine,tryptophan,lysine,histidine,arginine,source,judgment
34,Barbecue sauce (Sweet Baby Ray's)Honey Barbecue sauce,USA,Seasonings and Spices,0.0,0.0,,25.6,1.4,8.0,8.0,44.0,0.0,4.0,2.0,28.0,3.0,0.0,0.0,6.0,4.0,1.1,10.1,30.12,6.0,5.0,7.1,,unexceptional
35,"Barley, fiber snow, polished",Japan Toyama,Cereals,,,,1.3,3.2,0.4,0.5,,,0.0,0.9,1.1,31.12,0.0,0.2,0.5,1.0,1.3,1.5,11.6,0.8,0.4,1.1,"M. Kashima et al. (2010) Bulletin of the Food Research Institute, Toyama Prefectural Agricultural, Forestry and Fisheries Research Center 1, 13-22",bad
36,"Barley, fiber snow, unpolished",Japan Toyama,Cereals,,,,2.2,2.1,0.6,0.9,,,0.9,2.0,8.1,1.5,0.0,0.0,0.6,0.9,1.6,2.1,21.2,1.0,0.8,2.0,"M. Kashima et al. (2010) Bulletin of the Food Research Institute, Toyama Prefectural Agricultural, Forestry and Fisheries Research Center 1, 13-22",bad
37,basil,Japan,Vegetables,,,,10.0,3.8,2.5,1.5,6.4,26.0,0.6,0.4,1.6,1.8,0.0,0.0,1.2,0.6,1.1,2.5,0.4,0.0,0.3,1.0,Hinako Ito and Hiroshi Ueno,
38,Beef extract,UK,Seasonings and Spices,80.0,80.0,,280.0,210.0,140.0,220.0,,,190.0,150.0,390.0,220.0,0.0,90.0,170.0,360.0,170.0,230.0,50.0,170.0,80.0,250.0,Umami Information Center,unexceptional
39,Beef loin,Japan Tokyo,Meats,0.0,,,11.0,0.0,6.0,8.0,3.0,31.0,3.0,7.0,28.0,7.0,0.0,5.0,5.0,10.0,5.01,6.1,1.0,9.0,3.1,9.0,うま味インフォメーション調べ,unexceptional
40,"Beef, 12 days after slaughter, under refregeration",Japan,Meats,79.61,,,9.71,1.1,6.91,9.77,4.49,58.17,4.14,11.41,38.13,8.79,1.44,5.82,6.82,12.46,7.07,7.1,,11.26,5.12,9.23,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",bad
41,"Beef, 4 days after slaughter, under refregeration",Japan,Meats,90.2,,,6.03,1.2,4.1,6.83,3.04,61.82,3.91,10.36,31.98,5.74,0.72,2.83,4.33,7.48,4.17,4.13,,8.77,3.72,7.49,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",bad
42,Belgian shallot,Japan,Vegetables,,,,14.0,4.1,4.8,2.3,17.0,116.0,1.7,0.6,0.5,1.8,0.0,0.7,0.9,3.2,9.1,3.7,9.7,3.9,8.1,71.0,Hinako Ito and Hiroshi Ueno,unexceptional
43,Bitter melon,Japan,Vegetables,,,,0.7,1.6,6.2,2.1,5.0,44.0,1.1,0.4,0.7,3.0,0.0,0.0,1.8,1.8,3.4,4.5,0.0,2.6,5.4,28.0,Hinako Ito and Hiroshi Ueno,bad
44,Black scraper fish,Japan Ehime,Fishes and Shellfishes,,,,18.0,2.0,5.0,5.0,,,5.0,94.0,30.0,5.0,0.0,2.0,3.0,5.0,3.0,3.0,,8.0,2.0,6.0,"Y. Hiraoka et al. (2011)  Ehime Prefecture Industrial Technology Institute Research Report 49, 19－22",unexceptional
45,"Black tiger shrimp, frozen",Taiwan,Fishes and Shellfishes,,,,34.0,3.0,29.0,46.0,40.0,156.0,455.0,618.0,144.0,39.0,3.0,18.0,18.0,34.0,19.0,14.0,11.0,39.0,17.0,406.0,"K. Takada et al. (1988) Nippon Suisan Gakkaishi 54, 12, 2173-2179",unexceptional
46,Black Truffle,France,Mushrooms,0.0,7.0,,77.0,4.0,33.0,172.0,20.0,318.0,21.0,26.0,381.0,136.0,0.0,0.0,123.0,9.0,1.0,6.0,0.0,54.0,26.0,86.0,Umami Information Center,unexceptional
47,Blue crab Leg meat female,Japan,Fishes and Shellfishes,,,,47.0,19.0,36.0,37.0,133.0,,192.0,454.0,175.0,59.0,,44.0,36.0,76.0,28.0,27.0,9.0,52.0,33.0,386.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
48,Blue crab Leg meat male,Japan,Fishes and Shellfishes,,,,11.2,14.1,23.1,23.0,26.5,,251.0,444.0,23.5,16.2,,49.0,28.1,27.2,22.1,19.1,5.1,44.0,23.0,24.11,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
49,blue daikon,Japan,Vegetables,,,,2.6,2.4,4.7,6.0,7.9,66.0,4.2,0.6,2.3,6.1,0.0,0.0,3.8,2.7,1.5,2.2,2.4,0.5,3.0,2.5,Hinako Ito and Hiroshi Ueno,bad
50,bouillon,France,Seasonings and Spices,,,,3.89,1.99,0.52,31.12,,,1.4,0.88,1.46,0.59,,0.13,0.27,0.57,0.15,0.7,,0.49,0.17,1.31,,bad
51,brackish water clam,Japan,Fishes and Shellfishes,,,,29.1,3.4,6.5,11.9,0.0,6.1,15.4,34.9,88.1,7.5,0.0,2.2,4.6,5.8,10.3,2.9,30.12,8.9,4.9,16.7,,unexceptional
52,brackish water clam,Japan,Fishes and Shellfishes,,,,34.2,3.9,9.2,12.5,0.0,9.1,14.2,18.2,115.1,8.6,0.7,2.7,5.3,7.4,7.7,3.4,1.5,12.7,7.4,11.5,,unexceptional
53,British yeast extract,UK,Seasonings and Spices,0.0,0.0,,1110.0,730.0,510.0,820.0,530.0,0.0,730.0,500.0,1480.0,840.0,0.0,350.0,680.0,1430.0,670.0,880.0,210.0,580.0,290.0,890.0,Umami Information Center,very good
54,"Broccoli, flower buds",Japan,Vegetables,,,,83.0,17.0,13.0,63.0,,,149.0,3.0,57.0,20.0,0.0,1.0,10.0,13.0,5.0,7.0,2.0,12.0,23.0,27.0,source:Umami Information Center,unexceptional
55,"Broccoli, stem",Japan,Vegetables,,,,40.0,15.0,6.0,26.0,,,11.0,3.0,54.0,11.0,,0.0,3.0,2.0,2.0,1.0,,3.0,2.0,2.0,Source:Umami Information Center,unexceptional
56,"Broccoli, whole",Japan,Vegetables,,,,29.1,20.1,28.1,29.1,0.0,0.0,6.11,12.1,4.3,16.2,1.0,1.1,26.0,23.1,11.1,14.1,2.0,23.0,4.2,3.5,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
57,Brown rice vinegar,Japan,Seasonings and Spices,,,,8.3,8.3,5.3,6.2,,,5.6,6.2,9.9,8.2,,1.3,6.0,9.7,7.1,5.7,,10.0,3.2,13.7,"Y. Tamura et al (2004) J. Brew.Soc. Japan 99, 3, 202－207",bad
58,"Brown rice, Koshihikari",Japan Toyama,Cereals,,,,10.9,4.7,0.5,2.0,,,0.0,0.4,2.4,0.4,0.0,0.3,0.1,0.2,0.5,0.1,1.6,0.1,0.2,1.3,"M. Kashima et al. (2010) Bulletin of the Food Research Institute, Toyama Prefectural Agricultural, Forestry and Fisheries Research Center 1, 13-22",unexceptional
59,"Brown rice, Koshihikari",Japan,Cereals,,,,20.1,16.68,1.04,3.64,,,,1.14,4.86,1.14,,,1.24,,1.8,1.42,,0.74,0.0,0.0,"K. Saegusa et. al (1993)Japanese Journal of Crop Science 62, No. Supplement 1, 286-287",unexceptional
60,Brussel sprouts,Japan,Vegetables,,,,2.6,17.0,7.1,22.0,32.0,253.0,491.0,3.7,12.0,18.0,0.0,0.5,8.9,4.4,2.9,7.9,6.4,1.8,20.0,63.0,Hinako Ito and Hiroshi Ueno,bad
61,Butterfish,Japan Ehime,Fishes and Shellfishes,160.0,,,16.0,1.0,5.0,9.0,0.0,0.0,4.0,10.0,17.0,5.0,0.0,4.0,4.0,7.0,3.0,2.0,0.0,8.0,1.0,2.0,source:Umami Information Center,unexceptional
62,Cacao nibs,France,Nuts and Seeds,,,,14.2,24.0,22.1,27.0,,,33.0,10.0,63.0,20.2,0.0,6.0,1.2,6.4,44.0,16.3,6.1,39.0,6.1,15.2,Umami Information Center,unexceptional
63,carrot,Japan,Vegetables,,,,3.9,23.0,6.9,7.0,14.0,40.0,13.0,0.5,15.0,9.2,0.0,0.0,4.9,1.8,8.0,5.4,2.5,0.0,3.5,4.7,Hinako Ito and Hiroshi Ueno,bad
64,Carrot,Japan,Vegetables,,,,19.0,13.0,4.0,10.0,0.0,0.0,4.0,0.0,39.0,7.0,0.0,1.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,5.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
65,"Cauliflower, whole",Japan,Vegetables,,,,46.0,33.0,39.0,68.0,0.0,0.0,163.0,18.0,174.0,84.0,0.0,5.0,51.0,53.0,32.0,37.0,13.0,38.0,31.0,92.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
66,Caviar,Russia,Fishes and Shellfishes,,,,22.3,30.12,1.2,4.2,0.0,30.0,36.0,18.0,4.3,26.2,0.0,40.0,12.3,29.4,30.12,62.0,22.0,19.3,17.0,8.0,Japan Umami Seasoning Association,unexceptional
67,Celery,Japan,Vegetables,,,,18.9,13.1,5.2,7.6,73.8,58.2,0.0,0.6,3.6,8.8,,,4.6,4.5,3.9,5.0,,2.3,0.6,0.0,"T. Suzuki et al. (1976) Food Research Institute Report, 31, 42-70",unexceptional
68,"Champignon mushroom, fresh",Japan,Mushrooms,0.0,0.0,,42.0,11.0,25.0,19.0,,,16.0,16.0,146.0,22.1,17.0,5.0,19.01,35.0,12.0,29.01,19.0,18.01,21.0,7.0,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
69,"Charqui, dried Alpaca meat",Peru,Meats,,,,105.18,5.98,10.17,11.94,,7.88,,14.55,54.3,11.8,,,9.01,17.38,9.48,8.05,,20.05,4.67,12.46,source:Umami Information Center,unexceptional
70,Cheddar cheese aged 1 year,USA,Milks,,,,173.0,17.0,14.0,14.0,71.0,0.0,17.0,16.0,18.0,52.0,0.0,21.0,8.0,142.0,26.0,85.0,9.0,49.0,12.0,57.0,,unexceptional
71,Cheddar cheese aged 10 years,USA,Milks,,,,718.0,93.0,110.0,143.0,174.0,,36.0,57.0,112.0,152.0,0.0,178.0,86.0,526.0,130.0,236.0,46.0,368.0,80.0,269.0,,good
72,Cheddar cheese aged 3 years,USA,Milks,,,,258.0,23.0,29.0,28.0,93.0,0.0,18.0,21.0,26.0,67.0,0.0,42.0,17.0,193.0,40.0,118.0,18.0,83.0,20.0,97.0,,unexceptional
73,Cheese Brie de Meaux,France,Milks,,,,292.0,30.0,13.0,3.0,0.0,55.0,118.0,40.0,86.0,114.0,0.0,47.0,87.0,192.0,73.0,115.0,20.0,17.0,59.0,15.0,Umami Information Center,unexceptional
74,"Cheese, Cabrales",Spain,Milks,,,,760.48,288.0,303.95,79.05,55.76,,,104.18,189.36,450.4,,269.63,412.41,752.52,333.98,440.6,65.75,763.55,140.33,28.19,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",good
75,"Cheese, Cheddar, aged for 0 months",UK,Milks,,,,10.5,3.27,,,,,6.09,0.23,2.16,1.65,,0.34,0.23,2.32,3.81,2.69,,11.61,2.68,0.43,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
76,"Cheese, Cheddar, aged for 0days",Japan,Milks,,,,39.0,3.0,4.0,4.0,,,13.0,31.12,7.0,21.0,,3.01,6.01,44.0,15.0,26.0,,16.0,2.01,9.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
77,"Cheese, Cheddar, aged for 1 months",UK,Milks,,,,21.86,5.77,,,,,7.37,1.06,4.63,4.84,,3.01,1.05,12.98,5.53,9.71,,20.54,3.03,0.94,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
78,"Cheese, Cheddar, aged for 120 days",Japan,Milks,,,,175.0,19.0,32.0,48.0,,,24.02,23.0,48.0,156.0,,11.2,44.0,343.0,92.0,10.7,,105.0,13.0,29.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
79,"Cheese, Cheddar, aged for 2 months",UK,Milks,,,,35.59,8.79,,,,,9.02,1.92,6.73,10.44,,9.4,2.69,29.22,7.54,20.9,,35.03,3.39,2.33,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
80,"Cheese, Cheddar, aged for 3 months",UK,Milks,,,,54.13,13.83,,,,,14.27,4.25,9.7,19.65,,12.87,4.34,52.31,11.7,34.63,,65.88,5.64,7.67,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
81,"Cheese, Cheddar, aged for 30 days",Japan,Milks,,,,82.0,5.0,9.0,10.0,,,18.0,6.0,15.0,56.0,,9.0,10.0,125.0,22.1,87.0,,28.0,4.0,19.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
82,"Cheese, Cheddar, aged for 4 months",UK,Milks,,,,77.81,16.56,,,,,13.63,4.85,12.66,23.73,,13.95,7.14,77.4,15.7,48.03,,67.15,4.61,10.26,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
83,"Cheese, Cheddar, aged for 5 months",UK,Milks,,,,111.65,26.7,,,,,34.12,10.5,17.02,42.1,,20.43,12.36,109.97,26.24,64.18,,111.38,11.98,17.31,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
84,"Cheese, Cheddar, aged for 6 months",UK,Milks,,,,121.08,31.38,,,,,29.02,12.0,21.0,51.7,,24.35,18.46,128.91,29.56,75.53,,114.25,12.54,18.07,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
85,"Cheese, Cheddar, aged for 60 days",Japan,Milks,,,,52.0,8.0,12.0,19.0,,,26.0,7.0,24.0,69.0,,16.0,17.0,151.0,38.0,100.0,,43.0,4.01,28.01,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
86,"Cheese, Cheddar, aged for 7 months",UK,Milks,,,,160.41,35.21,,,,,22.77,14.41,25.72,58.6,,28.0,16.71,170.03,35.8,91.83,,138.92,12.02,26.09,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
87,"Cheese, Cheddar, aged for 8 months",UK,Milks,,,,182.23,42.77,,,,,33.94,18.98,29.01,74.16,,33.97,23.82,195.94,45.55,104.22,,155.37,20.28,41.09,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",unexceptional
88,"Cheese, Cheddar, aged for 90 days",Japan,Milks,,,,168.0,15.0,22.0,32.0,,,46.0,19.0,35.0,152.0,,31.0,32.0,305.0,63.0,192.0,,78.0,10.0,17.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
89,"Cheese, Comte de Montagne aged for 18 months",France,Milks,,,,1570.0,248.0,165.0,245.0,230.0,,606.0,160.0,174.0,509.0,0.0,169.0,445.0,640.0,210.0,363.0,25.0,813.0,190.0,39.0,Umami Information Center,very good
90,"Cheese, Comte de Montagne aged for 8 months",France,Milks,,,,539.0,29.0,79.0,67.0,125.0,61.0,221.0,60.0,81.0,197.0,0.0,67.0,107.0,329.0,84.0,171.0,10.0,303.0,63.0,36.0,Umami Information Center,good
91,"Cheese, Crystalline part of Parmigiano reggiano, aged for 48 months",Italy,Milks,,,,1860.0,490.0,330.0,670.0,,,970.0,260.0,380.0,2570.0,0.0,2480.0,5570.0,8710.0,750.0,1570.0,50.0,1170.0,250.0,360.0,Umami Information Center,very good
92,"Cheese, Emmental",Swetzerland,Milks,,,,307.52,9.85,73.62,43.19,,,160.03,30.33,49.0,131.21,,43.12,58.9,209.87,47.65,103.41,9.39,203.2,29.79,,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",acceptable
93,"Cheese, Époisses",France France,Milks,,,,157.0,9.0,27.0,7.0,6.0,20.0,112.0,24.0,78.0,73.0,0.0,35.0,40.0,104.0,69.0,77.0,23.0,51.0,34.0,5.0,Umami Information Center,unexceptional
94,"Cheese, Ferme d' Ambert",France,Milks,,,,330.0,106.0,73.0,76.0,0.0,87.0,169.0,42.0,93.0,161.0,0.0,80.0,116.0,295.0,150.0,148.0,24.0,323.0,110.0,95.0,Umami Information Center,acceptable
95,"Cheese, Ferme d' Ambert aged for 3 months",France,Milks,,,,614.0,276.0,146.0,108.0,0.0,170.0,396.0,79.0,167.0,388.0,0.0,166.0,250.0,564.0,282.0,281.0,47.0,587.0,172.0,208.0,Umami Information Center,good
96,"Cheese, Feta",Egypt,Milks,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,source:Umami Information Center,bad
97,"Cheese, Ghoda, aged for 0 days",Japan,Milks,,,,43.0,4.0,6.0,7.0,,,23.0,3.0,12.0,27.0,,6.0,13.0,52.0,25.0,29.0,,26.0,5.0,12.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
98,"Cheese, Gouda, aged for 1 month",Japan,Milks,,,,124.0,7.0,15.0,17.0,,,28.0,10.0,21.0,61.0,,14.0,22.0,157.0,40.0,91.0,,45.0,7.0,16.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
99,"Cheese, Gouda, aged for 2 months",Japan,Milks,,,,215.0,13.0,26.0,31.0,,,52.0,20.0,35.0,132.0,,29.0,41.0,279.0,72.0,149.0,,83.0,12.0,15.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
100,"Cheese, Gouda, aged for 3 months",Japan,Milks,,,,276.0,17.0,37.0,44.0,,,69.0,30.0,44.0,172.0,,43.0,56.0,344.0,99.0,179.0,,118.0,17.0,22.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
101,"Cheese, Gouda, aged for 4 months",Japan,Milks,,,,295.0,18.0,40.0,16.02,,,81.0,32.0,47.0,193.0,,47.0,63.0,369.0,111.0,192.0,,129.0,19.0,21.0,"Y. Okazaki（2002） J. Rakuno Gakuen Univ. 27,1,1-41",unexceptional
102,"Cheese, Kashkaval, aged for 0 months",Egypt,Milks,,,,8.94,3.25,1.76,1.01,,,3.48,1.39,3.53,6.48,,3.27,3.76,8.19,4.21,7.17,,2.92,0.0,30.12,"K. Ninomiya (1998) Food Rev.Int.,14(2&3),177-211",bad
